epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,141.873,1.54296,2.53865,1.67976,0.5364,0.44847,0.44728,0.22272,1.5219,1.83047,1.54098,0.00997481,0.00332494,0.00997481,0.00332494,0.00997481,0.00332494,0.00997481,0.00332494
2,229.215,1.45183,1.95249,1.62211,0.38524,0.43086,0.40252,0.17975,1.7719,1.94707,1.72948,0.0199736,0.00665786,0.0199736,0.00665786,0.0199736,0.00665786,0.0199736,0.00665786
3,308.859,1.51096,1.95991,1.69293,0.30233,0.31328,0.22384,0.09353,1.8314,2.5432,1.90916,0.0299675,0.00998916,0.0299675,0.00998916,0.0299675,0.00998916,0.0299675,0.00998916
4,387.389,1.53326,1.96464,1.73034,0.43261,0.4192,0.39429,0.18623,1.7923,1.91379,1.83688,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945
5,464.781,1.48763,1.8967,1.70385,0.41093,0.42377,0.37886,0.18009,1.72355,2.08935,1.82502,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
6,542.211,1.45051,1.83608,1.67876,0.44699,0.48233,0.44578,0.24289,1.505,1.67308,1.62873,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474
7,619.551,1.41185,1.76448,1.63962,0.54792,0.50703,0.50817,0.26581,1.45768,1.56235,1.59082,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
8,696.029,1.39286,1.72938,1.62654,0.49595,0.56061,0.54014,0.29091,1.41083,1.40099,1.52962,0.0299103,0.00997011,0.0299103,0.00997011,0.0299103,0.00997011,0.0299103,0.00997011
9,772.516,1.37236,1.69222,1.6065,0.6433,0.5262,0.58816,0.30217,1.49902,1.46924,1.61069,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
10,849.448,1.34608,1.65222,1.58852,0.54784,0.53355,0.52487,0.27003,1.42443,1.62079,1.53995,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062
11,926.152,1.33672,1.62731,1.57797,0.60163,0.57243,0.60602,0.31598,1.38974,1.33148,1.49648,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
12,1002.87,1.33223,1.61495,1.57208,0.64767,0.54832,0.60662,0.3342,1.34518,1.34187,1.47341,0.0297789,0.00992629,0.0297789,0.00992629,0.0297789,0.00992629,0.0297789,0.00992629
13,1079.62,1.31032,1.57698,1.55383,0.61662,0.58569,0.60235,0.33858,1.3518,1.33495,1.4965,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
14,1194.44,1.30514,1.57049,1.55076,0.67391,0.55084,0.62648,0.37036,1.25602,1.38122,1.4146,0.0296915,0.00989715,0.0296915,0.00989715,0.0296915,0.00989715,0.0296915,0.00989715
15,1335.27,1.2809,1.52361,1.52945,0.65843,0.55808,0.63124,0.3475,1.32117,1.32698,1.46192,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
16,1447.49,1.27447,1.5131,1.52264,0.65134,0.59935,0.63934,0.33682,1.42127,1.38644,1.53844,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323
17,1524.53,1.26584,1.49932,1.52018,0.59721,0.60296,0.60227,0.35864,1.25467,1.27817,1.40954,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
18,1601.67,1.25595,1.48591,1.51617,0.70348,0.59524,0.66562,0.3791,1.32644,1.31343,1.46319,0.0294737,0.00982456,0.0294737,0.00982456,0.0294737,0.00982456,0.0294737,0.00982456
19,1678.64,1.24072,1.46384,1.50193,0.6661,0.61039,0.63789,0.37205,1.24982,1.25538,1.40162,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
20,1755.17,1.23399,1.44215,1.49542,0.66807,0.62621,0.67199,0.38783,1.30557,1.24549,1.44321,0.0293435,0.00978118,0.0293435,0.00978118,0.0293435,0.00978118,0.0293435,0.00978118
21,1833.54,1.2346,1.43374,1.48952,0.64428,0.66999,0.6769,0.38031,1.31361,1.25402,1.43332,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
22,1914.18,1.23013,1.42959,1.48762,0.70297,0.61415,0.67465,0.38156,1.28549,1.20887,1.41832,0.0291994,0.00973312,0.0291994,0.00973312,0.0291994,0.00973312,0.0291994,0.00973312
23,1995.7,1.21313,1.40718,1.47577,0.69518,0.62927,0.67681,0.39362,1.25834,1.21323,1.41051,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
24,2077.22,1.21173,1.39226,1.47012,0.62349,0.65263,0.65458,0.37823,1.24698,1.2374,1.39999,0.0290413,0.00968045,0.0290413,0.00968045,0.0290413,0.00968045,0.0290413,0.00968045
25,2159.12,1.20879,1.3864,1.47015,0.67249,0.65833,0.69123,0.38965,1.27618,1.18627,1.41165,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
26,2240.59,1.20216,1.37057,1.45969,0.72126,0.65335,0.69464,0.40878,1.23769,1.18177,1.37846,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232
27,2322.24,1.1986,1.36111,1.45833,0.70814,0.68183,0.70426,0.42012,1.19647,1.18111,1.35882,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289
28,2403.71,1.19644,1.35366,1.45577,0.65343,0.60386,0.64156,0.38354,1.27937,1.33298,1.42883,0.0286843,0.00956145,0.0286843,0.00956145,0.0286843,0.00956145,0.0286843,0.00956145
29,2505.06,1.18898,1.34081,1.4471,0.73263,0.63819,0.68609,0.40125,1.22389,1.19979,1.38883,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
30,2615.2,1.17863,1.32092,1.43779,0.68828,0.67109,0.69925,0.41606,1.23444,1.13431,1.36676,0.0284857,0.00949524,0.0284857,0.00949524,0.0284857,0.00949524,0.0284857,0.00949524
31,2723.32,1.17021,1.31198,1.43592,0.72961,0.63143,0.69108,0.40409,1.25327,1.19661,1.40712,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
32,2831.1,1.17618,1.30799,1.43086,0.72329,0.66966,0.71478,0.42078,1.22073,1.14402,1.37076,0.0282739,0.00942464,0.0282739,0.00942464,0.0282739,0.00942464,0.0282739,0.00942464
33,2937.01,1.16147,1.29925,1.4229,0.70767,0.66703,0.68713,0.40678,1.24153,1.1758,1.37973,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
34,3042.2,1.15802,1.28826,1.42483,0.70075,0.68071,0.71125,0.41849,1.20179,1.1509,1.35629,0.0280492,0.00934973,0.0280492,0.00934973,0.0280492,0.00934973,0.0280492,0.00934973
35,3146.15,1.14764,1.265,1.41493,0.6947,0.67792,0.69443,0.42207,1.22386,1.18723,1.38481,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067
36,3252.43,1.15575,1.27171,1.41493,0.72172,0.65131,0.70695,0.43903,1.16868,1.14349,1.3266,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057
37,3358.25,1.15939,1.27786,1.42052,0.70188,0.64948,0.69951,0.43589,1.1739,1.13927,1.34348,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
38,3464.09,1.14671,1.26256,1.41364,0.69474,0.6626,0.6865,0.42141,1.1818,1.12459,1.3572,0.0275617,0.00918725,0.0275617,0.00918725,0.0275617,0.00918725,0.0275617,0.00918725
39,3570.93,1.14138,1.24314,1.40831,0.72616,0.67543,0.7153,0.4385,1.21879,1.16105,1.37104,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405
40,3675.38,1.13804,1.23663,1.40263,0.72151,0.69187,0.71775,0.43991,1.15976,1.11904,1.30947,0.0272995,0.00909984,0.0272995,0.00909984,0.0272995,0.00909984,0.0272995,0.00909984
41,3782.22,1.14325,1.23995,1.40625,0.73449,0.68059,0.72362,0.44016,1.22233,1.07928,1.35868,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
42,3885.38,1.13497,1.23782,1.40178,0.74944,0.6624,0.72075,0.45341,1.15399,1.06821,1.32158,0.0270253,0.00900844,0.0270253,0.00900844,0.0270253,0.00900844,0.0270253,0.00900844
43,3992.48,1.12828,1.21917,1.39667,0.71902,0.68019,0.73525,0.45051,1.15366,1.11553,1.31651,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127
44,4093.89,1.12902,1.21693,1.39643,0.71734,0.68131,0.71531,0.44776,1.15878,1.10642,1.34796,0.0267394,0.00891313,0.0267394,0.00891313,0.0267394,0.00891313,0.0267394,0.00891313
45,4195.78,1.1139,1.19866,1.38452,0.72142,0.69295,0.72057,0.45377,1.15535,1.11194,1.32539,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
46,4297.4,1.12075,1.20466,1.3852,0.75612,0.67756,0.7267,0.45238,1.13373,1.09523,1.30217,0.026442,0.00881401,0.026442,0.00881401,0.026442,0.00881401,0.026442,0.00881401
47,4400.43,1.11703,1.18351,1.37847,0.73308,0.68763,0.7212,0.45192,1.1293,1.07701,1.31691,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305
48,4503.56,1.11253,1.19176,1.38594,0.73236,0.68549,0.72527,0.45637,1.14434,1.06521,1.32865,0.0261335,0.00871117,0.0261335,0.00871117,0.0261335,0.00871117,0.0261335,0.00871117
49,4608.75,1.10359,1.17333,1.37294,0.74762,0.69139,0.71951,0.45467,1.13872,1.07795,1.31219,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
50,4711.73,1.10685,1.16768,1.3717,0.72453,0.68794,0.71789,0.45342,1.14069,1.08966,1.31974,0.0258142,0.00860473,0.0258142,0.00860473,0.0258142,0.00860473,0.0258142,0.00860473
51,4813.92,1.10269,1.16967,1.3773,0.76555,0.66485,0.74525,0.46737,1.13069,1.05351,1.31314,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018
52,4918.06,1.10031,1.17254,1.37167,0.70141,0.69361,0.70681,0.45242,1.1325,1.0649,1.32051,0.0254843,0.00849477,0.0254843,0.00849477,0.0254843,0.00849477,0.0254843,0.00849477
53,5019.89,1.09517,1.15688,1.36302,0.71242,0.70621,0.7252,0.46346,1.131,1.09621,1.31643,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
54,5126.61,1.09066,1.14,1.36317,0.72984,0.70488,0.73851,0.46076,1.14099,1.07859,1.31753,0.0251442,0.00838141,0.0251442,0.00838141,0.0251442,0.00838141,0.0251442,0.00838141
55,5235.79,1.08472,1.13681,1.35972,0.75612,0.71149,0.73668,0.46227,1.11757,1.07982,1.29307,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349
56,5344.73,1.08462,1.13806,1.35881,0.74285,0.68744,0.72594,0.45571,1.1392,1.08351,1.3151,0.0247943,0.00826477,0.0247943,0.00826477,0.0247943,0.00826477,0.0247943,0.00826477
57,5455.11,1.08567,1.13136,1.35904,0.74076,0.69586,0.72309,0.46121,1.12211,1.08286,1.3085,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
58,5565.25,1.07923,1.13181,1.35585,0.73299,0.69779,0.72107,0.4575,1.13914,1.07609,1.3226,0.0244349,0.00814495,0.0244349,0.00814495,0.0244349,0.00814495,0.0244349,0.00814495
59,5674.76,1.07613,1.12093,1.34996,0.73102,0.70314,0.73843,0.47389,1.11471,1.05452,1.30744,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389
60,5783.93,1.07702,1.11724,1.35246,0.73664,0.69943,0.72928,0.46069,1.12743,1.077,1.31285,0.0240662,0.00802208,0.0240662,0.00802208,0.0240662,0.00802208,0.0240662,0.00802208
61,5892.56,1.07632,1.10533,1.34964,0.74599,0.70098,0.73808,0.47059,1.10758,1.05698,1.29066,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
62,5999.88,1.06817,1.10096,1.34137,0.74174,0.69542,0.72358,0.46605,1.12755,1.06574,1.30214,0.0236888,0.00789628,0.0236888,0.00789628,0.0236888,0.00789628,0.0236888,0.00789628
63,6107.82,1.0652,1.09819,1.34122,0.74513,0.71324,0.74188,0.47662,1.08941,1.05333,1.27809,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231
64,6215.4,1.06159,1.0851,1.3364,0.73732,0.70167,0.72981,0.46402,1.09684,1.04367,1.27242,0.023303,0.00776766,0.023303,0.00776766,0.023303,0.00776766,0.023303,0.00776766
65,6322.47,1.06819,1.09394,1.34188,0.74505,0.70415,0.73826,0.47692,1.1145,1.04081,1.30527,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
66,6427.65,1.05727,1.07754,1.33519,0.72791,0.71963,0.73232,0.46821,1.09821,1.02764,1.29443,0.0229091,0.00763637,0.0229091,0.00763637,0.0229091,0.00763637,0.0229091,0.00763637
67,6528.89,1.0561,1.0815,1.33466,0.75019,0.70605,0.73104,0.46601,1.11069,1.05512,1.28847,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976
68,6631.29,1.05101,1.07307,1.33224,0.73175,0.70451,0.73487,0.47193,1.08598,1.03415,1.2752,0.0225076,0.00750252,0.0225076,0.00750252,0.0225076,0.00750252,0.0225076,0.00750252
69,6734.23,1.05136,1.06621,1.32983,0.74027,0.70815,0.73883,0.48054,1.09967,1.04307,1.2925,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
70,6837.32,1.04352,1.06135,1.32331,0.75455,0.69099,0.73741,0.47232,1.10533,1.05505,1.30164,0.0220988,0.00736625,0.0220988,0.00736625,0.0220988,0.00736625,0.0220988,0.00736625
71,6939.99,1.04395,1.05723,1.32101,0.74939,0.69789,0.72911,0.46964,1.07092,1.04197,1.26423,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
72,7043.32,1.05068,1.06282,1.32359,0.71555,0.72348,0.72842,0.47422,1.10324,1.06628,1.29572,0.0216831,0.0072277,0.0216831,0.0072277,0.0216831,0.0072277,0.0216831,0.0072277
73,7147.81,1.042,1.05615,1.32524,0.73017,0.71935,0.73709,0.4821,1.0971,1.03284,1.28449,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
74,7250.52,1.04341,1.05353,1.32174,0.7457,0.70826,0.73491,0.48129,1.10236,1.04359,1.29509,0.021261,0.007087,0.021261,0.007087,0.021261,0.007087,0.021261,0.007087
75,7354.55,1.0395,1.05041,1.31615,0.73739,0.70864,0.73928,0.48414,1.08094,1.01154,1.27945,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588
76,7457.16,1.03375,1.03275,1.31298,0.74258,0.72242,0.74441,0.48448,1.09947,1.01247,1.28892,0.0208328,0.00694428,0.0208328,0.00694428,0.0208328,0.00694428,0.0208328,0.00694428
77,7560.46,1.02058,1.02358,1.30659,0.73868,0.73815,0.74506,0.48405,1.09749,1.01143,1.2917,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
78,7663.38,1.0279,1.02052,1.30869,0.73399,0.72357,0.73363,0.48266,1.0864,1.01886,1.28141,0.0203991,0.0067997,0.0203991,0.0067997,0.0203991,0.0067997,0.0203991,0.0067997
79,7767.49,1.02998,1.03139,1.30974,0.7273,0.73024,0.72729,0.47804,1.09697,1.0318,1.29156,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675
80,7869.82,1.03092,1.02107,1.30676,0.75756,0.71781,0.74331,0.4881,1.08328,1.02265,1.28632,0.0199602,0.00665339,0.0199602,0.00665339,0.0199602,0.00665339,0.0199602,0.00665339
81,7970.86,1.01919,1.0139,1.30379,0.75985,0.72403,0.74193,0.4861,1.11298,1.01588,1.30979,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
82,8075.94,1.02069,1.00831,1.30015,0.75044,0.73012,0.73547,0.48426,1.09812,1.03002,1.29581,0.0195165,0.0065055,0.0195165,0.0065055,0.0195165,0.0065055,0.0195165,0.0065055
83,8182.8,1.02136,1.00626,1.29694,0.75327,0.72646,0.73746,0.48341,1.10707,1.02201,1.30854,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101
